judul,kategori,tanggal_upload,waktu_upload,link_berita
"Cerita Anak 6 Tahun Usai Disetubuhi Tukang Siomay, Celana Dalam Dicuci Pelaku, Airnya Diminum",NEWS,29/01/2022, 19:32 WIB,https://megapolitan.kompas.com/read/2022/01/29/19323151/cerita-anak-6-tahun-usai-disetubuhi-tukang-siomay-celana-dalam-dicuci
"Selfie Bersama Anaknya di Pinggir Rel, Ibu Muda di Cilacap Tewas Tersambar KA",REGIONAL,29/01/2022, 19:31 WIB,https://regional.kompas.com/read/2022/01/29/193133678/selfie-bersama-anaknya-di-pinggir-rel-ibu-muda-di-cilacap-tewas-tersambar
Gelombang Ke-7 Covid-19 Mulai Terjang Singapura,GLOBAL,29/01/2022, 19:30 WIB,https://www.kompas.com/global/read/2022/01/29/193000870/gelombang-ke-7-covid-19-mulai-terjang-singapura
"Fakta Baru, Ada Kekerasan di Kerangkeng Bupati Nonaktif Langkat, Lebih dari 1 Orang Meninggal",REGIONAL,29/01/2022, 19:29 WIB,https://medan.kompas.com/read/2022/01/29/192941278/fakta-baru-ada-kekerasan-di-kerangkeng-bupati-nonaktif-langkat-lebih-dari-1
"Link Live Streaming Persib Vs Persikabo, Kickoff 20.45 WIB",BOLA,29/01/2022, 19:29 WIB,https://bola.kompas.com/read/2022/01/29/19292938/link-live-streaming-persib-vs-persikabo-kickoff-2045-wib
Pangdam Pattimura Pimpin Upacara Pemakaman Prajurit TNI yang Gugur di Papua,REGIONAL,29/01/2022, 19:27 WIB,https://regional.kompas.com/read/2022/01/29/192752278/pangdam-pattimura-pimpin-upacara-pemakaman-prajurit-tni-yang-gugur-di-papua
"Kapolresta Banjarmasin: Kalau Boleh Menembak, Saya Tembak Kepalanya",REGIONAL,29/01/2022, 19:26 WIB,https://regional.kompas.com/read/2022/01/29/192615378/kapolresta-banjarmasin-kalau-boleh-menembak-saya-tembak-kepalanya
6 Hal yang Perlu Dilakukan Agar Aki Sepeda Motor Awet,OTOMOTIF,29/01/2022, 19:22 WIB,https://otomotif.kompas.com/read/2022/01/29/192200915/6-hal-yang-perlu-dilakukan-agar-aki-sepeda-motor-awet
"Jangan Terkecoh, Ini Bedanya Cinta atau Hanya Ketertarikan Sesaat",WIKEN,29/01/2022, 19:22 WIB,https://www.kompas.com/wiken/read/2022/01/29/192200681/jangan-terkecoh-ini-bedanya-cinta-atau-hanya-ketertarikan-sesaat
"UPDATE 29 Januari: Vaksinasi Covid-19 Dosis Kedua di Tangsel Mencapai 77,9 Persen",NEWS,29/01/2022, 19:19 WIB,https://megapolitan.kompas.com/read/2022/01/29/19194051/update-29-januari-vaksinasi-covid-19-dosis-kedua-di-tangsel-mencapai-779
"Sebar Video Majikan Telanjang di TikTok, TKI di Singapura Dibui 17 Bulan",GLOBAL,29/01/2022, 19:15 WIB,https://www.kompas.com/global/read/2022/01/29/191500070/sebar-video-majikan-telanjang-di-tiktok-tki-di-singapura-dibui-17-bulan
"Witan dan Egy Jadi Starter, FK Senica Ditumbangkan FC Zlin 0-4",BOLA,29/01/2022, 19:14 WIB,https://bola.kompas.com/read/2022/01/29/19143378/witan-dan-egy-jadi-starter-fk-senica-ditumbangkan-fc-zlin-0-4
Apa Perbedaan Solo dan Surakarta?,REGIONAL,29/01/2022, 19:12 WIB,https://yogyakarta.kompas.com/read/2022/01/29/191215078/apa-perbedaan-solo-dan-surakarta
"Imlek 2022 Tahun Macan Air, Ini 5 Shio Paling Beruntung Tahun Ini",WIKEN,29/01/2022, 19:10 WIB,https://www.kompas.com/wiken/read/2022/01/29/191000581/imlek-2022-tahun-macan-air-ini-5-shio-paling-beruntung-tahun-ini
"Ciri-ciri iPhone HDC, Apa Bedanya dengan iPhone Original?",TEKNO,29/01/2022, 19:09 WIB,https://tekno.kompas.com/read/2022/01/29/19090047/ciri-ciri-iphone-hdc-apa-bedanya-dengan-iphone-original-
